Conf,R,S1,S2,T1,T2,G,Home,Winner,WOELO,WNELO,LOELO,LNELO,SIMSW,SIMSL,D
Eastern,2,1,4,ATL,TOR,3,TOR,ATL,1557.03,1565.19,1452.37,1444.21,14738,10263,787,
Eastern,2,1,4,ATL,TOR,4,TOR,ATL,1565.19,1572.9,1444.21,1436.5,15252,9749,771,
Eastern,2,2,3,CLE,CHI,1,CLE,CLE,1555.65,1562.76,1492.46,1485.34,16195,8806,700,
Eastern,2,2,3,CLE,CHI,2,CLE,CLE,1562.76,1569.5,1485.34,1478.6,16722,8279,718,
Eastern,2,2,3,CLE,CHI,3,CHI,CLE,1569.5,1578.05,1478.6,1470.06,14255,10746,797,
Eastern,2,2,3,CLE,CHI,4,CHI,CLE,1578.05,1586.12,1470.06,1461.99,14738,10263,804,
Eastern,3,1,2,ATL,CLE,1,ATL,ATL,1572.9,1582.13,1586.12,1576.89,13440,11561,815,
Eastern,3,1,2,ATL,CLE,2,ATL,ATL,1582.13,1590.84,1576.89,1568.18,14217,10784,745,
Eastern,3,1,2,ATL,CLE,3,CLE,CLE,1568.18,1577.68,1590.84,1581.34,13196,11805,754,
Eastern,3,1,2,ATL,CLE,4,CLE,CLE,1577.68,1586.64,1581.34,1572.38,13974,11027,789,
Eastern,3,1,2,ATL,CLE,5,ATL,ATL,1572.38,1581.64,1586.64,1577.38,13440,11561,813,
Eastern,3,1,2,ATL,CLE,6,CLE,CLE,1577.38,1586.35,1581.64,1572.66,13974,11027,806,
Eastern,3,1,2,ATL,CLE,7,ATL,ATL,1572.66,1581.91,1586.35,1577.11,13440,11561,813,
Western,1,1,8,GSW,NOP,1,GSW,GSW,1624.23,1628.78,1452.03,1447.47,19508,5493,572,
Western,1,1,8,GSW,NOP,2,GSW,GSW,1628.78,1633.15,1447.47,1443.1,19749,5252,563,
Western,1,1,8,GSW,NOP,3,NOP,GSW,1633.15,1639.08,1443.1,1437.17,17512,7489,637,
Western,1,1,8,GSW,NOP,4,NOP,GSW,1639.08,1644.73,1437.17,1431.52,17770,7231,631,
Western,1,2,7,HOU,DAL,1,HOU,HOU,1536.94,1543.85,1466.14,1459.23,16478,8523,671,
Western,1,2,7,HOU,DAL,2,HOU,HOU,1543.85,1550.41,1459.23,1452.67,16963,8038,654,
Western,1,2,7,HOU,DAL,3,DAL,HOU,1550.41,1558.77,1452.67,1444.31,14514,10487,762,
Western,1,2,7,HOU,DAL,4,DAL,HOU,1558.77,1566.65,1444.31,1436.42,14998,10003,778,
Western,1,3,6,LAC,SAS,1,LAC,LAC,1553.79,1562.78,1558.43,1549.44,13974,11027,751,
Western,1,3,6,LAC,SAS,2,LAC,LAC,1562.78,1571.25,1549.44,1540.97,14461,10540,732,
Western,1,3,6,LAC,SAS,3,SAS,SAS,1540.97,1550.69,1571.25,1561.53,12951,12050,809,
Western,1,3,6,LAC,SAS,4,SAS,SAS,1550.69,1559.85,1561.53,1552.37,13714,11287,810,
Western,1,3,6,LAC,SAS,5,LAC,LAC,1552.37,1561.44,1559.85,1550.78,13714,11287,810,
Western,1,3,6,LAC,SAS,6,SAS,SAS,1550.78,1559.94,1561.44,1552.28,13714,11287,819,
Western,1,3,6,LAC,SAS,7,LAC,LAC,1552.28,1561.35,1559.94,1550.87,13714,11287,813,
Western,1,4,5,MEM,POR,1,MEM,MEM,1497.37,1504.81,1446.22,1438.78,15713,9288,752,
Western,1,4,5,MEM,POR,2,MEM,MEM,1504.81,1511.85,1438.78,1431.74,16195,8806,739,
Western,1,4,5,MEM,POR,3,POR,MEM,1511.85,1520.7,1431.74,1422.89,13746,11255,780,
Western,1,4,5,MEM,POR,4,POR,MEM,1520.7,1529.05,1422.89,1414.54,14514,10487,731,
Western,2,1,4,GSW,MEM,1,GSW,GSW,1644.73,1650.53,1529.05,1523.25,18000,7001,669,
Western,2,1,4,GSW,MEM,2,GSW,GSW,1650.53,1656.05,1523.25,1517.73,18249,6752,669,
Western,2,1,4,GSW,MEM,3,MEM,GSW,1656.05,1663.3,1517.73,1510.48,15728,9273,706,
Western,2,1,4,GSW,MEM,4,MEM,GSW,1663.3,1670.16,1510.48,1503.62,16221,8780,682,
Western,2,2,3,HOU,LAC,1,HOU,HOU,1566.65,1575.36,1561.35,1552.65,14217,10784,799,
Western,2,2,3,HOU,LAC,2,HOU,HOU,1575.36,1583.57,1552.65,1544.43,14705,10296,743,
Western,2,2,3,HOU,LAC,3,LAC,LAC,1544.43,1554.41,1583.57,1573.6,12679,12322,756,
Western,2,2,3,HOU,LAC,4,LAC,LAC,1554.41,1563.81,1573.6,1564.2,13196,11805,776,
Western,2,2,3,HOU,LAC,5,HOU,HOU,1564.2,1573.04,1563.81,1554.97,13974,11027,814,
Western,2,2,3,HOU,LAC,6,LAC,LAC,1554.97,1564.34,1573.04,1563.67,13440,11561,815,
Western,2,2,3,HOU,LAC,7,HOU,HOU,1563.67,1572.54,1564.34,1555.46,13974,11027,805,
Western,3,1,2,GSW,HOU,1,GSW,GSW,1670.16,1676.39,1572.54,1566.31,17199,7802,707,
Western,3,1,2,GSW,HOU,2,GSW,GSW,1676.39,1682.32,1566.31,1560.38,17719,7282,634,
Western,3,1,2,GSW,HOU,3,HOU,GSW,1682.32,1690.01,1560.38,1552.69,15252,9749,712,
Western,3,1,2,GSW,HOU,4,HOU,GSW,1690.01,1697.28,1552.69,1545.42,15728,9273,713,
Final,4,1,1,GSW,ATL,1,GSW,GSW,1697.28,1703.08,1581.91,1576.1,17719,7282,680,
Final,4,1,1,GSW,ATL,2,GSW,GSW,1703.08,1708.62,1576.1,1570.57,18249,6752,661,
Final,4,1,1,GSW,ATL,3,ATL,GSW,1708.62,1715.87,1570.57,1563.32,15728,9273,771,
Final,4,1,1,GSW,ATL,4,ATL,GSW,1715.87,1722.74,1563.32,1556.45,16221,8780,741,
